"","id","draft_date","community","housing_type","gender","tenure","years_in_community","adult_count","child_count","hh_size","rooms_in_hh","density","primary_dw_source","dw_reason_convenience","dw_reason_affordable","dw_reason_available","dw_reason_cold","dw_reason_clean","dw_reason_taste","dw_reason_habit","dw_reason_trustworthy","dw_reason_health","dw_reason_other","primary_water_source","secondary_water_source","payment_mode_primary","payment_mode_secondary","daily_hh_water_cost","daily_hh_water_cost_phhm","storage","binary_struggle","time_of_last_struggle","weekdays_struggle","coping_sachet_to_cook","coping_skipped_cooking","coping_sachet_to_bathe","coping_skipped_bathing","coping_closed_business","coping_skipped_laundry"
"63",72,2023-11-16 10:42:24,"abuja","wood_shack","female","rented",20,2,2,4,1,4,"commercial_tap",0,1,0,0,0,1,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",8,2,80,"Yes","last_7_days",3.5,1,1,1,0,0,1
"64",74,2023-11-16 11:24:00,"abuja","block_unit","male","rented",10,5,0,5,1,5,"packaged",0,1,0,1,1,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",45.5,9.1,120,"Yes","last_7_days",3,0,0,1,1,0,1
"65",75,2023-11-16 11:39:49,"abuja","block_unit","male","rented",20,7,0,7,1,7,"packaged",0,0,0,0,0,0,0,1,1,0,"commercial_tap",NA,"pay_to_fetch","na",48,6.85714285714286,0,"Yes","over_year_ago",0,1,1,1,0,1,1
"66",66,2023-11-15 13:11:00,"abuja","wood_shack","female","rented",20,1,1,2,1,2,"packaged",0,0,0,0,1,0,0,0,1,0,"piped_to_compound",NA,"shares_bill","na",NA,NA,500,"No","have_not_struggled",0,1,0,1,1,1,0
"67",76,2023-11-16 12:02:33,"abuja","no_structure","female","rented",14,2,0,2,NA,NA,"packaged",0,0,0,1,0,0,0,1,0,0,"commercial_tap",NA,"pay_to_fetch","na",11,5.5,40,"Yes","last_7_days",3,0,0,0,0,0,1
"68",77,2023-11-16 12:24:53,"abuja","other","female","rented",1,1,3,4,1,4,"packaged",0,1,0,0,1,0,0,1,0,0,"commercial_tap",NA,"pay_to_fetch","na",6,1.5,0,"Yes","last_7_days",2,1,0,0,0,0,0
"69",78,2023-11-16 12:36:27,"abuja","no_structure","female","owned",4,4,0,4,NA,NA,"packaged",0,0,1,1,0,1,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",19.4285714285714,4.85714285714286,0,"Yes","last_3_days",3,0,0,0,0,0,1
"70",79,2023-11-16 12:49:03,"abuja","other","female","rented",0,3,0,3,1,3,"packaged",0,0,1,0,0,0,0,0,0,1,"commercial_tap",NA,"pay_to_fetch","na",12.7142857142857,4.23809523809524,0,"No","have_not_struggled",0,1,1,1,1,0,1
"71",80,2023-11-16 12:58:29,"abuja","other","female","rented",3.5,3,0,3,1,3,"packaged",0,0,0,0,1,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",12,4,0,"Yes","last_7_days",2,0,0,0,1,0,0
"72",81,2023-11-16 13:09:46,"abuja","wood_unit","female","no_payment",1,7,0,7,1,7,"packaged",0,0,0,1,1,0,0,1,0,0,"commercial_tap",NA,"pay_to_fetch","na",31,4.42857142857143,0,"Yes","last_7_days",4,0,0,1,1,0,1
"73",73,2023-11-16 10:53:57,"abuja","block_unit","female","owned",28,20,2,22,1,22,"packaged",0,0,0,0,0,1,0,0,0,0,"piped_to_compound",NA,"shares_bill","na",NA,NA,250,"Yes","over_year_ago",0,0,0,0,0,0,1
"74",82,2023-11-16 13:23:30,"abuja","block_unit","female","rented",7,3,7,10,1,10,"packaged",0,0,1,1,0,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",24.4285714285714,2.44285714285714,0,"Yes","last_3_days",0,1,0,0,1,0,1
