"","id","community","housing_type","gender","tenure","hhhead_relation","business_owned","business_type","primary_dw_source","reasons_primary_dw","secondary_dw_source","reasons_secondary_dw","preferred_brand","primary_water_source","secondary_water_source","payment_mode","daily_hh_water_cost","daily_hh_water_cost_phhm","coping_mechanisms","time_of_last_coping","dbl_variable","value"
"64",8,"abuja","other","female","owned","self","no","na","packaged","taste","na","na","mid_range","commercial_tap","na","pay_to_fetch","19.142857142857142","6.3809523809523805","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_laundry","last_30_days","years_in_community",30
"65",8,"abuja","other","female","owned","self","no","na","packaged","taste","na","na","mid_range","commercial_tap","na","pay_to_fetch","19.142857142857142","6.3809523809523805","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_laundry","last_30_days","adult_count",3
"66",8,"abuja","other","female","owned","self","no","na","packaged","taste","na","na","mid_range","commercial_tap","na","pay_to_fetch","19.142857142857142","6.3809523809523805","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_laundry","last_30_days","child_count",2
"67",8,"abuja","other","female","owned","self","no","na","packaged","taste","na","na","mid_range","commercial_tap","na","pay_to_fetch","19.142857142857142","6.3809523809523805","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_laundry","last_30_days","hh_size",5
"68",8,"abuja","other","female","owned","self","no","na","packaged","taste","na","na","mid_range","commercial_tap","na","pay_to_fetch","19.142857142857142","6.3809523809523805","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_laundry","last_30_days","rooms_in_hh",2
"69",8,"abuja","other","female","owned","self","no","na","packaged","taste","na","na","mid_range","commercial_tap","na","pay_to_fetch","19.142857142857142","6.3809523809523805","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_laundry","last_30_days","density",2.5
"70",8,"abuja","other","female","owned","self","no","na","packaged","taste","na","na","mid_range","commercial_tap","na","pay_to_fetch","19.142857142857142","6.3809523809523805","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_laundry","last_30_days","daily_dw_cost_pp",8
"71",8,"abuja","other","female","owned","self","no","na","packaged","taste","na","na","mid_range","commercial_tap","na","pay_to_fetch","19.142857142857142","6.3809523809523805","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_laundry","last_30_days","storage",300
"72",8,"abuja","other","female","owned","self","no","na","packaged","taste","na","na","mid_range","commercial_tap","na","pay_to_fetch","19.142857142857142","6.3809523809523805","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_laundry","last_30_days","days_struggle",0
"73",9,"abuja","other","female","rented","self","yes","water","packaged","convenience;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","9.1428571428571423","4.5714285714285712","sachet_to_cook;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","years_in_community",6
"74",9,"abuja","other","female","rented","self","yes","water","packaged","convenience;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","9.1428571428571423","4.5714285714285712","sachet_to_cook;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","adult_count",2
"75",9,"abuja","other","female","rented","self","yes","water","packaged","convenience;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","9.1428571428571423","4.5714285714285712","sachet_to_cook;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","child_count",5
"76",9,"abuja","other","female","rented","self","yes","water","packaged","convenience;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","9.1428571428571423","4.5714285714285712","sachet_to_cook;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","hh_size",7
"77",9,"abuja","other","female","rented","self","yes","water","packaged","convenience;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","9.1428571428571423","4.5714285714285712","sachet_to_cook;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","rooms_in_hh",1
"78",9,"abuja","other","female","rented","self","yes","water","packaged","convenience;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","9.1428571428571423","4.5714285714285712","sachet_to_cook;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","density",7
"79",9,"abuja","other","female","rented","self","yes","water","packaged","convenience;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","9.1428571428571423","4.5714285714285712","sachet_to_cook;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","daily_dw_cost_pp",5
"80",9,"abuja","other","female","rented","self","yes","water","packaged","convenience;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","9.1428571428571423","4.5714285714285712","sachet_to_cook;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","storage",0
"81",9,"abuja","other","female","rented","self","yes","water","packaged","convenience;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","9.1428571428571423","4.5714285714285712","sachet_to_cook;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","days_struggle",2
"82",10,"abuja","other","female","rented","self","yes","shop","packaged","convenience","na","na","high_end","commercial_tap","na","shares_bill","na","na","sachet_to_cook;skipped_bathing;skipped_laundry","last_year","years_in_community",20
